"Designator","Mid X","Mid Y","Layer","Rotation"
"C1","91.8972mm","-40.3072mm","top","90.0"
"C3","90.6272mm","-39.4436mm","top","-90.0"
"C4","89.73mm","-37.25mm","top","180.0"
"C5","95.885mm","-34.163mm","top","-90.0"
"D2","83.75mm","-27mm","top","180.0"
"D3","83.5mm","-40mm","top","180.0"
"USB1","80.25mm","-33.75mm","top","-90.0"
"R1","100.4296mm","-38.9636mm","top","180.0"
"R2","100.75mm","-29.25mm","top","90.0"
"R3","97.028mm","-37.973mm","top","90.0"
"R4","96.75mm","-41.25mm","top","90.0"
"R5","101.5mm","-26.924mm","top","0.0"
"U3","94.45mm","-39.1125mm","top","0.0"
"U4","90mm","-31.5mm","top","90.0"
"U5","108mm","-33.75mm","top","90.0"
"D1","83.8708mm","-36.8808mm","top","-90.0"
"R6","85.9536mm","-38.2524mm","top","180.0"
